page,country,rev_id,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
Alena Palečková,Czech Republic,790608180.0,,,,,,,left_only
Zuzana Roithová,Czech Republic,790608186.0,,,,,,,left_only
"List of MPs elected in the Czech legislative election, 2017",Czech Republic,790838510.0,,,,,,,left_only
Martin Jahn,Czech Republic,791374581.0,,,,,,,left_only
Pavel Rychetský,Czech Republic,792417439.0,,,,,,,left_only
Gustáv Slamečka,Czech Republic,792476721.0,,,,,,,left_only
Edvard Kožušník,Czech Republic,793087579.0,,,,,,,left_only
Jan Masaryk,Czech Republic,793642926.0,,,,,,,left_only
Jan Koukal,Czech Republic,794146543.0,,,,,,,left_only
Pavel Bém,Czech Republic,794995687.0,,,,,,,left_only
"List of MPs elected in the Czech legislative election, 2013",Czech Republic,795098385.0,,,,,,,left_only
Vít Bárta,Czech Republic,795377941.0,,,,,,,left_only
Karl Kautsky,Czech Republic,795807571.0,,,,,,,left_only
Karl von Czyhlarz,Czech Republic,795809115.0,,,,,,,left_only
Václav Fresl,Czech Republic,796253432.0,,,,,,,left_only
Josef Václav Frič,Czech Republic,796403608.0,,,,,,,left_only
Tomáš Zdechovský,Czech Republic,796749458.0,,,,,,,left_only
Andrea Češková,Czech Republic,796751775.0,,,,,,,left_only
Dana Kuchtová,Czech Republic,796752629.0,,,,,,,left_only
Rudolf Margolius,Czech Republic,796825099.0,,,,,,,left_only
František Ladislav Rieger,Czech Republic,797539957.0,,,,,,,left_only
Petr Mach,Czech Republic,797842545.0,,,,,,,left_only
Jaroslava Moserová,Czech Republic,798490261.0,,,,,,,left_only
Vávra Suk,Czech Republic,798648973.0,,,,,,,left_only
Vojtěch Náprstek,Czech Republic,798686948.0,,,,,,,left_only
Lubomír Štrougal,Czech Republic,798705619.0,,,,,,,left_only
Jan Krejčí,Czech Republic,798796793.0,,,,,,,left_only
Radek John,Czech Republic,798944631.0,,,,,,,left_only
Jan Jesenius,Czech Republic,799301686.0,,,,,,,left_only
Josef Ježek,Czech Republic,800555146.0,,,,,,,left_only
Jana Bobošíková,Czech Republic,800754664.0,,,,,,,left_only
Franz Anton von Kolowrat-Liebsteinsky,Czech Republic,800883412.0,,,,,,,left_only
Viktor Dyk,Czech Republic,800925236.0,,,,,,,left_only
Alois Jirásek,Czech Republic,800925518.0,,,,,,,left_only
"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",Czech Republic,801939668.0,,,,,,,left_only
Adriana Krnáčová,Czech Republic,801972898.0,,,,,,,left_only
Ondřej Liška,Czech Republic,802013967.0,,,,,,,left_only
Marcel Chládek,Czech Republic,802054500.0,,,,,,,left_only
Miroslava Kopicová,Czech Republic,802055280.0,,,,,,,left_only
Milan Chovanec,Czech Republic,802060218.0,,,,,,,left_only
František Bublan,Czech Republic,802060471.0,,,,,,,left_only
Jiří Dienstbier Jr.,Czech Republic,802069244.0,,,,,,,left_only
Táňa Fischerová,Czech Republic,802360196.0,,,,,,,left_only
Václav Jehlička,Czech Republic,802365998.0,,,,,,,left_only
Viliam Široký,Czech Republic,802416926.0,,,,,,,left_only
Miroslav Lidinský,Czech Republic,802531379.0,,,,,,,left_only
Petr Cibulka,Czech Republic,802834939.0,,,,,,,left_only
Anna Šabatová,Czech Republic,802875800.0,,,,,,,left_only
Adolph Aloys von Braun,Czech Republic,803332354.0,,,,,,,left_only
Dana Bérová,Czech Republic,803438779.0,,,,,,,left_only
František Palacký,Czech Republic,803658529.0,,,,,,,left_only
Miroslav Kostelka,Czech Republic,803709959.0,,,,,,,left_only
Martin Barták,Czech Republic,803793256.0,,,,,,,left_only
Karolína Peake,Czech Republic,803794383.0,,,,,,,left_only
Petr Ježek,Czech Republic,803983301.0,,,,,,,left_only
František Udržal,Czech Republic,804093764.0,,,,,,,left_only
Václav Havel,Czech Republic,804569724.0,,,,,,,left_only
Pavel Fischer,Czech Republic,804582256.0,,,,,,,left_only
Eva Tylová,Czech Republic,804591494.0,,,,,,,left_only
Dana Jurásková,Czech Republic,804715205.0,,,,,,,left_only
Svatopluk Němeček,Czech Republic,804715467.0,,,,,,,left_only
Richard Brabec,Czech Republic,804820949.0,,,,,,,left_only
Jan Fischer (politician),Czech Republic,804868436.0,,,,,,,left_only
Martin Pecina,Czech Republic,804869147.0,,,,,,,left_only
Vlasta Parkanová,Czech Republic,804871394.0,,,,,,,left_only
Martin Bursík,Czech Republic,804879673.0,,,,,,,left_only
Lubomír Zaorálek,Czech Republic,805037426.0,,,,,,,left_only
Radola Gajda,Czech Republic,805084705.0,,,,,,,left_only
Karel Schwarzenberg,Czech Republic,805176779.0,,,,,,,left_only
Vlasta Svobodová,Czech Republic,805179298.0,,,,,,,left_only
Ondřej Přikryl,Czech Republic,805352758.0,,,,,,,left_only
Milada Horáková,Czech Republic,805439919.0,,,,,,,left_only
Martin Holcát,Czech Republic,805824502.0,,,,,,,left_only
Alena Dernerová,Czech Republic,805946007.0,,,,,,,left_only
Marian Jurečka,Czech Republic,806049453.0,,,,,,,left_only
Pavel Bělobrádek,Czech Republic,806085100.0,,,,,,,left_only
Dan Ťok,Czech Republic,806231200.0,,,,,,,left_only
Jiří Dienstbier,Czech Republic,806490518.0,,,,,,,left_only
Rudolf Slánský,Czech Republic,806504904.0,,,,,,,left_only
Alexandr Vondra,Czech Republic,806537585.0,,,,,,,left_only
Jaroslav Šedivý,Czech Republic,806538241.0,,,,,,,left_only
Cyril Svoboda,Czech Republic,806538320.0,,,,,,,left_only
Jan Kohout,Czech Republic,806539480.0,,,,,,,left_only
Miloš Vystrčil,Czech Republic,806558617.0,,,,,,,left_only
Alois Eliáš,Czech Republic,806566913.0,,,,,,,left_only
Jan Skopeček (politician),Czech Republic,806569308.0,,,,,,,left_only
Miloslav Ludvík,Czech Republic,806586185.0,,,,,,,left_only
Martin Kupka,Czech Republic,806636602.0,,,,,,,left_only
Matěj Stropnický,Czech Republic,806650264.0,,,,,,,left_only
Petr Šimerka,Czech Republic,806669645.0,,,,,,,left_only
Jaromír Drábek,Czech Republic,806669709.0,,,,,,,left_only
Ludmila Müllerová,Czech Republic,806669752.0,,,,,,,left_only
Jan Veleba (politician),Czech Republic,806672899.0,,,,,,,left_only
František Ringo Čech,Czech Republic,806673245.0,,,,,,,left_only
Michaela Marksová,Czech Republic,806673585.0,,,,,,,left_only
Robert Pelikán,Czech Republic,806708361.0,,,,,,,left_only
Karla Šlechtová,Czech Republic,806708532.0,,,,,,,left_only
Stanislav Gross,Czech Republic,806720477.0,,,,,,,left_only
Martin Stropnický,Czech Republic,806729653.0,,,,,,,left_only
Leoš Heger,Czech Republic,806751902.0,,,,,,,left_only
Bohuslav Svoboda,Czech Republic,806850638.0,,,,,,,left_only
Miroslava Němcová,Czech Republic,806876791.0,,,,,,,left_only
Zbyněk Stanjura,Czech Republic,806900987.0,,,,,,,left_only
Drahomíra Miklošová,Czech Republic,806988445.0,,,,,,,left_only
Václav Klaus Jr.,Czech Republic,806991412.0,,,,,,,left_only
Dominik Feri,Czech Republic,807058182.0,,,,,,,left_only
Alexandra Udženija,Czech Republic,807102237.0,,,,,,,left_only
Ivan Pilný,Czech Republic,807333095.0,,,,,,,left_only
Marta Semelová,Czech Republic,807334610.0,,,,,,,left_only
